obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
,20413.6,,31000.0,B+,58311.659,58801.529,3s2.3p.5p,1S,0,3s2.3p.4d,1P*,1,E1,T6066,
,23090.2,,15500.0,B+,57017.496,57450.58,3s2.3p.5p,3D,2,3s2.3p.4d,3F*,3,E1,T6066LS,
,23119.8,,135000.0,B+,62534.08,62966.61,3s2.3p.6d,3F*,4,3s2.3p.(2P*<3/2>).6f,2[9/2],5,E1,T6066LS',
,25378.1,,11100.0,B+,56978.256,57372.297,3s2.3p.5p,3D,1,3s2.3p.4d,3F*,2,E1,T6066LS,
,25931.6,,12300.0,B+,57198.027,57583.657,3s2.3p.5p,3D,3,3s2.3p.4d,3F*,4,E1,T6066LS,
,26524.6,,0.143,E,50189.389,50566.397,3s2.3p.4p,1D,2,3s2.3p.3d,3P*,1,E1,T8363c22,
,28184.8,,1500.0,C+,57017.496,57372.297,3s2.3p.5p,3D,2,3s2.3p.4d,3F*,2,E1,T6066LS,
,28252.0,,2590.0,C,62421.03,62774.99,3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",3,3s2.3p.6d,3D*,2,E1,T6066LS',
,28412.0,,57700.0,B,63781.97,64133.93,3s2.3p.(2P*<3/2>).7f,2[9/2],5,3s2.3p.8d,3F*,4,E1,T6066LS',
,30619.1,,23.3,E,56690.903,57017.496,3s2.3p.4d,3P*,2,3s2.3p.5p,3D,2,E1,T6066LS,
,31521.0,,64.0,D,56700.25,57017.496,3s2.3p.4d,3P*,1,3s2.3p.5p,3D,2,E1,T6066LS,
,31959.0,,25000.0,B+,61647.36,61960.26,3s2.3p.(2P*<3/2>).5f,2[3/2],1,3s2.3p.5d,3P*,0,E1,T6066LS',
,32211.4,,1.51,D,50189.389,50499.838,3s2.3p.4p,1D,2,3s2.3p.3d,3P*,2,E1,T8363c22,
,34692.0,,4920.0,B,61647.875,61936.13,3s2.3p.(2P*<3/2>).5f,2[3/2],2,3s2.3p.5d,3P*,1,E1,T6066LS',
,34800.4,,1.76,E,56690.903,56978.256,3s2.3p.4d,3P*,2,3s2.3p.5p,3D,1,E1,T6066LS,
,35970.0,,23.9,E,56700.25,56978.256,3s2.3p.4d,3P*,1,3s2.3p.5p,3D,1,E1,T6066LS,
,36090.5,,4170.0,B,56503.346,56780.427,3s2.3p.4d,1D*,2,3s2.3p.5p,1P,1,E1,T6066,
,37392.0,,62100.0,B,63514.533,63781.97,3s2.3p.7d,3F*,4,3s2.3p.(2P*<3/2>).7f,2[9/2],5,E1,T6066LS',
,39595.6,,388.0,C+,57198.027,57450.58,3s2.3p.5p,3D,3,3s2.3p.4d,3F*,3,E1,T6066LS,
,40837.0,,21.9,E,56733.38,56978.256,3s2.3p.4d,3P*,0,3s2.3p.5p,3D,1,E1,T6066LS,
,44811.5,,3.49e-10,D+,0.0,223.157,3s2.3p2,3P,0,3s2.3p2,3P,2,E2,c22,
,45836.0,,1700.0,C,63575.35,63793.52,3s2.3p.7d,3D*,2,3s2.3p.(2P*<3/2>).7f,2[3/2],1,E1,T6066LS',
,46153.0,,4530.0,D+,63576.85,63793.52,3s2.3p.(2P*<1/2>).9s<1/2>,"(1/2,1/2)*",0,3s2.3p.(2P*<3/2>).7f,2[3/2],1,E1,T6066LS',
,47400.0,,762.0,B,62774.99,62985.96,3s2.3p.6d,3D*,2,3s2.3p.(2P*<3/2>).6f,2[3/2],1,E1,T6066LS',
,49996.0,,263.0,C+,61447.86,61647.875,3s2.3p.5d,3D*,2,3s2.3p.(2P*<3/2>).5f,2[3/2],2,E1,T6066LS',
,51529.0,,60.1,C,61647.875,61841.94,3s2.3p.(2P*<3/2>).5f,2[3/2],2,3s2.3p.5d,3P*,2,E1,T6066LS',
,57382.2,,5.02,D,57198.027,57372.297,3s2.3p.5p,3D,3,3s2.3p.4d,3F*,2,E1,T6066LS,
,63183.0,,34.5,C,59032.19,59190.46,3s2.3p.4d,3D*,2,3s2.3p.(2P*<3/2>).4f,2[3/2],1,E1,T6066LS',
,68473.5,,1.21e-10,D+,77.115,223.157,3s2.3p2,3P,1,3s2.3p2,3P,2,E2,"c22,T4209",
,68473.5,,4.21e-05,B+,77.115,223.157,3s2.3p2,3P,1,3s2.3p2,3P,2,M1,"c22,T4209",
,69244.0,,2010.0,B+,60704.53,60848.946,3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",3,3s2.3p.5d,3F*,4,E1,T6066LS',
,72780.0,,5590.0,B+,62985.96,63123.36,3s2.3p.(2P*<3/2>).6f,2[3/2],1,3s2.3p.6d,3P*,0,E1,T6066LS',
,73470.0,,248.0,C+,61511.77,61647.875,3s2.3p.5d,3D*,1,3s2.3p.(2P*<3/2>).5f,2[3/2],2,E1,T6066LS',
,74654.0,,62.8,C+,59056.508,59190.46,3s2.3p.4d,3D*,1,3s2.3p.(2P*<3/2>).4f,2[3/2],1,E1,T6066LS',
,88456.0,,2280.0,B,62421.03,62534.08,3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",3,3s2.3p.6d,3F*,4,E1,T6066LS',
,89767.0,,743.0,B+,62985.96,63097.36,3s2.3p.(2P*<3/2>).6f,2[3/2],1,3s2.3p.6d,3P*,1,E1,T6066LS',
,129676.0,,8.25e-06,B+,0.0,77.115,3s2.3p2,3P,0,3s2.3p2,3P,1,M1,"c22,T4209",
,219010.0,,2.34e-15,D,45276.188,45321.848,3s.3p3,3D*,1,3s.3p3,3D*,3,E2,c22,
,354370.0,,2.43e-15,D+,45293.629,45321.848,3s.3p3,3D*,2,3s.3p3,3D*,3,E2,c22,
,354370.0,,4.04e-07,D+,45293.629,45321.848,3s.3p3,3D*,2,3s.3p3,3D*,3,M1,c22,
,573360.0,,3.46e-16,D+,45276.188,45293.629,3s.3p3,3D*,1,3s.3p3,3D*,2,E2,c22,
,573360.0,,1.29e-07,D+,45276.188,45293.629,3s.3p3,3D*,1,3s.3p3,3D*,2,M1,c22,
